config,engine,phase,run,ops
k1024_v256,tidesdb,Backward,1,1811571.77
k1024_v256,tidesdb,Delete,1,536663.25
k1024_v256,tidesdb,Put,2,3299961.33
k1024_v256,tidesdb,Get,2,1311749.81
k1024_v256,tidesdb,Forward,2,3005650.27
k1024_v256,tidesdb,Backward,2,1778091.62
k1024_v256,tidesdb,Delete,2,547883.15
k1024_v256,ondadb,Put,1,1224635
k1024_v256,ondadb,Get,1,2113001
k1024_v256,ondadb,Forward,1,2907716
k1024_v256,ondadb,Backward,1,1815540
k1024_v256,ondadb,Delete,1,1362626
k1024_v256,ondadb,Put,2,1400245
k1024_v256,ondadb,Get,2,1840638
k1024_v256,ondadb,Forward,2,1730031
k1024_v256,ondadb,Backward,2,1549756
k1024_v256,ondadb,Delete,2,1488745
k1024_v256,fjall,Put,1,610730
k1024_v256,fjall,Get,1,300353
k1024_v256,fjall,Forward,1,616517
k1024_v256,fjall,Backward,1,717015
k1024_v256,fjall,Delete,1,666179
k1024_v256,fjall,Put,2,594591
k1024_v256,fjall,Get,2,303346
k1024_v256,fjall,Forward,2,619648
k1024_v256,fjall,Backward,2,722784
k1024_v256,fjall,Delete,2,655662
k1024_v256,surrealkv,Put,1,816578
k1024_v256,surrealkv,Get,1,125142
k1024_v256,surrealkv,Forward,1,1072344
k1024_v256,surrealkv,Backward,1,602544
k1024_v256,surrealkv,Delete,1,1251792
k1024_v256,surrealkv,Put,2,864875
k1024_v256,surrealkv,Get,2,114217
k1024_v256,surrealkv,Forward,2,1033267
k1024_v256,surrealkv,Backward,2,700314
k1024_v256,surrealkv,Delete,2,1258585
k1024_v256,wavesdb,Put,1,1558269
k1024_v256,wavesdb,Get,1,756989
k1024_v256,wavesdb,Forward,1,1803542
k1024_v256,wavesdb,Backward,1,1721893
k1024_v256,wavesdb,Delete,1,1767629
k1024_v256,wavesdb,Put,2,1581982
k1024_v256,wavesdb,Get,2,769863
k1024_v256,wavesdb,Forward,2,1879491
k1024_v256,wavesdb,Backward,2,1706431
k1024_v256,wavesdb,Delete,2,2002915
k1024_v256,badger,Put,1,647037
k1024_v256,badger,Get,1,497899
k1024_v256,badger,Forward,1,911102
k1024_v256,badger,Backward,1,954982
k1024_v256,badger,Delete,1,740861
k1024_v256,badger,Put,2,634801
k1024_v256,badger,Get,2,469417
k1024_v256,badger,Forward,2,738625
k1024_v256,badger,Backward,2,1000363
k1024_v256,badger,Delete,2,745553
k1024_v256,wildcat,Put,1,22716
k1024_v256,wildcat,Get,1,590
k1024_v256,wildcat,Forward,1,7718
k1024_v256,wildcat,Backward,1,9357
k1024_v256,wildcat,Delete,1,27905
k1024_v256,wildcat,Put,2,20289
k1024_v256,wildcat,Get,2,505
k1024_v256,wildcat,Forward,2,8793
k1024_v256,wildcat,Backward,2,9158
k1024_v256,wildcat,Delete,2,26315
k1024_v256,rocksdb,Put,1,946079
k1024_v256,rocksdb,Get,1,1618566
k1024_v256,rocksdb,Forward,1,555023
k1024_v256,rocksdb,Backward,1,631112
k1024_v256,rocksdb,Delete,1,1041571
k1024_v256,rocksdb,Put,2,917585
k1024_v256,rocksdb,Get,2,1621289
k1024_v256,rocksdb,Forward,2,553140
k1024_v256,rocksdb,Backward,2,632118
k1024_v256,rocksdb,Delete,2,1062072
k2048_v256,tidesdb,Put,1,2148191.66
k2048_v256,tidesdb,Get,1,1004943.75
k2048_v256,tidesdb,Forward,1,2260959.80
